filename,doc_name,status,effective_date,type,parent_doc,regime,include_in_index,notes
DAP_2020/sopapp16021_0.pdf,SOP - Confirmation of Foreign Bank Guarantees under DAP 2020,in-force,2021-09-14,amendment,DAP 2020,capital,yes,"Not a DAC-approved amendment per se - a Standard Operating Procedure supplementing Article 1.4.1 of Chapter VI and Para 1.3.5.1 of Appendix M, Schedule I to Chapter II. MoD ID 4(4)/D(Acq)/2A (Pt.) dated 14.09.2021."
DFPDS-2026.pdf,DFPDS 2026 (Delegation of Financial Powers to Defence Services),in-force,2026-06-02,main,,revenue,yes,"Companion document to DPM 2025 per its own foreword (""along with the Defence Procurement Manual (DPM) issued in 2025""); governs delegated financial powers/ceilings for procurement decision-making. Please confirm whether any capital-acquisition financial powers are also covered - the foreword frames it primarily as a revenue-procurement companion to DPM."
DPM_2025/DPM-2025-VOLUME-I.pdf,DPM 2025 Vol I,in-force,2025-11-01,main,,revenue,yes,Dated 14 Oct 2025 on the cover; in force from 1 Nov 2025 per the DPM cutover rule. Covers Revenue Procurement chapters spanning definitions/process through RFP tendering contracts and indigenisation.
DPM_2025/DPM-2025-VOLUME-II.pdf,DPM 2025 Vol II,in-force,2025-11-01,main,,revenue,yes,Companion volume to DPM 2025 Vol I; same effective date (1 Nov 2025).
DPM_2025/DPM0001.pdf,DPM 2009 Amendment 1/2015,superseded,2015-11-10,amendment,DPM 2009,revenue,yes,"MISFILED - this file is stored under DPM_2025 but its actual content is ""DPM-2009 Amendment 1/2015"" (dated 10.11.2015), not DPM 2025. Concerns exclusion of taxes/duties from L-1 (lowest bidder) evaluation criteria when only Indian bidders compete. Superseded along with all of DPM 2009 by DPM 2025 for RFPs issued on/after 1 Nov 2025; still governs any surviving pre-cutover RFP under the DPM cutover rule. Note: we do not have DPM 2009's main text in raw_pdfs, only this one amendment."
DPP 2016/DPP_2016_main.pdf,DPP 2016 (incorporating amendments upto 01 Nov 2019),superseded,2019-11-01,main,,capital,yes,Predates and is superseded by DAP 2020 for capital acquisition. This consolidated copy states it incorporates amendments up to 1 Nov 2019 - the original DPP 2016 notification date is not confirmed in the extracted text.
DPP 2016/Iscan0005new.pdf,SOP Addendum - Offset Contract Amendments (DPP 2006/2008/2011),superseded,2015-12-11,amendment,DPP 2011,capital,yes,"Despite being filed under DPP 2016, this concerns DPP 2006, 2008 and 2011 (predates DPP 2016) - a DAC-approved SOP (29 Oct 2015 meeting) for processing offset contract amendment proposals. MoD ID dated 11.12.2015. Long superseded by DAP 2020 for current procurements."
DPP Update060519_0.pdf,DPP 2016 (incorporating amendments upto 30 April 2019),superseded,2019-04-30,main,,capital,yes,"Earlier consolidated snapshot of the same DPP 2016 text as DPP_2016_main.pdf; superseded by that later (01 Nov 2019) snapshot, which is itself superseded by DAP 2020."
DRAFT POLICY GUIDELINES COVERING LETTER.pdf,Draft Policy Guidelines - Simulation-Based Trial Evaluation (under DAP 2020),draft,,main,DAP 2020,capital,yes,"Internal office-order template with blank ""No."" and ""Dated"" fields - appears unsigned/unfinalised, not a notified policy. Elaborates on DAP 2020's simulation-in-trials provisions (Para 41 Schedule I to Chapter II, and others). Treat as draft/non-binding until confirmed otherwise."
ShipbuildingRFPsi1421_0.pdf,DAP 2020 Schedule I to Chapter XII - Shipbuilding RFP Format,in-force,,main,DAP 2020,capital,yes,"A blank standard-format RFP template (Schedule I to Chapter XII, refers to Para 73 of Chapter XII - Procedure for Defence Ship Building), not a specific real procurement case. Functions as an appendix/schedule of DAP 2020 rather than a standalone regulation."
